Date,Open,High,Low,Close,Volume,Symbol
2023-04-10,0.1436379998922348,0.15346600115299225,0.14189200103282928,0.15261699259281158,46068718,GRT6719-USD
2023-04-11,0.15270400047302246,0.15481600165367126,0.14749599993228912,0.14790600538253784,58641617,GRT6719-USD
2023-04-12,0.14793400466442108,0.14975500106811523,0.1421010047197342,0.1469849944114685,45038417,GRT6719-USD
2023-04-13,0.1475590020418167,0.1516830027103424,0.1457339972257614,0.15052799880504608,42903548,GRT6719-USD
2023-04-14,0.15053999423980713,0.16486799716949463,0.15014000236988068,0.1620039939880371,114798759,GRT6719-USD
2023-04-15,0.16199199855327606,0.17190000414848328,0.15936200320720673,0.16717399656772614,105921504,GRT6719-USD
2023-04-16,0.16718600690364838,0.16997000575065613,0.16381299495697021,0.16679300367832184,59964685,GRT6719-USD
2023-04-17,0.16678300499916077,0.17337800562381744,0.16232800483703613,0.17186300456523895,115390413,GRT6719-USD
2023-04-18,0.17190900444984436,0.17491500079631805,0.1657470017671585,0.16988499462604523,85439494,GRT6719-USD
2023-04-19,0.16986900568008423,0.17059199512004852,0.15049299597740173,0.151978000998497,98008063,GRT6719-USD
2023-04-20,0.15192799270153046,0.1570030003786087,0.14409500360488892,0.14647799730300903,79732819,GRT6719-USD
2023-04-21,0.14649799466133118,0.1488569974899292,0.13489699363708496,0.1363770067691803,49621509,GRT6719-USD
2023-04-22,0.13638299703598022,0.14157100021839142,0.13547499477863312,0.14155200123786926,31933510,GRT6719-USD
2023-04-23,0.1415649950504303,0.14159099757671356,0.1347550004720688,0.13818900287151337,28983831,GRT6719-USD
2023-04-24,0.13818299770355225,0.1402219980955124,0.13469399511814117,0.13582099974155426,33765037,GRT6719-USD
2023-04-25,0.13580800592899323,0.1417129933834076,0.1306139975786209,0.14149999618530273,40983623,GRT6719-USD
2023-04-26,0.14149899780750275,0.14821599423885345,0.13279999792575836,0.1386920064687729,60919948,GRT6719-USD
2023-04-27,0.13868099451065063,0.143545001745224,0.13680300116539001,0.14031599462032318,38573015,GRT6719-USD
2023-04-28,0.14032700657844543,0.1410199999809265,0.13512299954891205,0.1372070014476776,30667423,GRT6719-USD
2023-04-29,0.13720500469207764,0.14079000055789948,0.13669799268245697,0.13899199664592743,20767982,GRT6719-USD
2023-04-30,0.13898800313472748,0.1400029957294464,0.13526199758052826,0.1361760050058365,22984464,GRT6719-USD
2023-05-01,0.136135995388031,0.13645300269126892,0.12957200407981873,0.13090099394321442,25280201,GRT6719-USD
2023-05-02,0.13087999820709229,0.1336439996957779,0.1290220022201538,0.13288100063800812,23218760,GRT6719-USD
2023-05-03,0.1328900009393692,0.1378449946641922,0.12849999964237213,0.1365090012550354,30645722,GRT6719-USD
2023-05-04,0.13651099801063538,0.13651099801063538,0.13165000081062317,0.1322460025548935,18627713,GRT6719-USD
2023-05-05,0.13223999738693237,0.13503900170326233,0.12863700091838837,0.1342640072107315,31633749,GRT6719-USD
2023-05-06,0.13426800072193146,0.135220006108284,0.12457700073719025,0.12680499255657196,25667104,GRT6719-USD
2023-05-07,0.1268090009689331,0.1286109983921051,0.1258309930562973,0.1261949986219406,15407751,GRT6719-USD
2023-05-08,0.12616699934005737,0.1267230063676834,0.11248499900102615,0.11722700297832489,43958679,GRT6719-USD
2023-05-09,0.11718499660491943,0.11802799999713898,0.1128700003027916,0.11495599895715714,23335328,GRT6719-USD
2023-05-10,0.11496900022029877,0.12036599963903427,0.11250100284814835,0.11907000094652176,39766043,GRT6719-USD
2023-05-11,0.11908700317144394,0.11908700317144394,0.11082600057125092,0.1116119995713234,25905213,GRT6719-USD
2023-05-12,0.11159799993038177,0.11643800139427185,0.10870099812746048,0.11643800139427185,31744775,GRT6719-USD
2023-05-13,0.11645200103521347,0.11749400198459625,0.11514700204133987,0.11650600284337997,18172029,GRT6719-USD
2023-05-14,0.11649999767541885,0.11804500222206116,0.11476799845695496,0.11675199866294861,16734798,GRT6719-USD
