ds,yhat,yhat_lower,yhat_upper
2024-04-08,64149.83243220282,58525.89461629349,68645.61565292224
2024-04-09,64481.05552454385,59254.46910007511,69330.11497496183
2024-04-10,64856.36548243367,59391.98767633693,69784.1510771936
2024-04-11,64886.61001487919,59068.87462525706,69851.79978585937
2024-04-12,64951.854454922744,58943.223917661075,70328.73398482641
2024-04-13,65111.15800480718,59177.835072728885,70665.92356656259
2024-04-14,65352.71257853057,59459.68764363232,71024.14841573632
2024-04-15,65789.04227964334,59046.022109390324,71516.7403392035
2024-04-16,66120.26537198448,59173.04003175623,71943.88645513264
2024-04-17,66495.57532987425,59516.18539725048,72799.5706198798
2024-04-18,66525.81986231958,59412.89051181861,73162.7636412131
2024-04-19,66591.06430236368,58886.23058403858,73410.17387107326
2024-04-20,66750.36785224773,58922.8759053876,73395.86933650415
2024-04-21,66991.92242597089,58826.50804973952,73832.46033221974
2024-04-22,67428.25212708388,59085.90118963916,74668.02920782071
2024-04-23,67759.47521942508,59269.76133851289,75243.42037800833
2024-04-24,68134.78517731467,59426.55541291876,75922.0380792351
2024-04-25,68165.02970976061,58971.86309196723,76765.19034113297
2024-04-26,68230.27414980429,58664.63265148186,76555.81366834384
2024-04-27,68389.57769968832,59021.881052508616,76809.35591851937
2024-04-28,68631.1322734116,58970.538313556994,76911.18234285043
2024-04-29,69067.46197452398,58654.49207389375,77537.31436665605
2024-04-30,69398.68506686506,59014.33157213454,78646.43412294003
2024-05-01,69773.99502475513,59211.67141864819,79241.31295216529
2024-05-02,69804.23955720125,59158.9584763863,79251.8706491687
2024-05-03,69869.48399724434,58461.906258390896,79874.9527920429
2024-05-04,70028.78754712857,58443.14908401556,80139.7320946922
2024-05-05,70270.34212085215,58235.34854760289,80553.77272904418
2024-05-06,70706.67182196447,58939.98458584573,80638.22399668756
2024-05-07,71037.8949143057,58818.34845099145,81626.71221620188
2024-05-08,71413.20487219554,59007.70144048713,82821.0755247908
2024-05-09,71443.44940464142,57965.28287985869,82558.82107421673
2024-05-10,71508.69384468492,58388.86307258918,83171.40906759392
2024-05-11,71667.99739456919,57731.08803158246,84140.07484035518
2024-05-12,71909.55196829264,57870.25689841876,84239.9488919005
2024-05-13,72345.88166940528,58762.228254007816,84979.36478194206
2024-05-14,72677.10476174629,57829.92128660033,85817.85537899275
2024-05-15,73052.41471963614,57858.24131051254,86049.59946573315
2024-05-16,73082.65925208293,57726.55565485504,86571.86619764651
2024-05-17,73147.90369212558,57232.203453139475,86848.97567257691
2024-05-18,73307.20724200945,57050.19200694704,86960.0774816921
2024-05-19,73548.76181573317,57469.15725187246,88141.88487168595
2024-05-20,73985.09151684582,58004.098169815945,89111.907606439
2024-05-21,74316.3146091869,57330.64159723556,89023.64802631864
2024-05-22,74691.62456707677,56943.15476866476,90674.35922933051
2024-05-23,74721.86909952304,57040.37318273712,91470.63017416446
2024-05-24,74787.1135395656,56228.22694223133,90807.38620101186
2024-05-25,74946.41708945027,56420.48242413206,91850.04459545192
2024-05-26,75187.97166317332,56436.53384848631,92005.82127141055
